tweet,class
i’ll keep you in my prayers.,not_offensive
you’re a soulless monster.,offensive
i’ll ruin your life.,offensive
You’re doing an amazing job!,not_offensive
"Kill yourself, you useless trash.",offensive
I’ll pray for your success.,not_offensive
"I dislike this movie, but respect your taste!",not_offensive
"kill yourself, you useless trash!",offensive
Watch your back—I’m coming for you.,offensive
"kill yourself, you useless trash!",offensive
"This doesn’t work for me, but others might like it.",not_offensive
you’re a blight on society!,offensive
There’s room for improvement here!,not_offensive
"i’m not a fan, but i understand why you like it!",not_offensive
you’re the reason the world is terrible.,offensive
you’re a coward and a fraud.,offensive
i hope your family suffers too.,offensive
"I dislike this movie, but respect your taste.",not_offensive
watch your back—i’m coming for you!,offensive
"your effort is appreciated, but we need changes.",not_offensive
faith helps me stay strong.,not_offensive
I’ll make you wish you were never born!,offensive
the sunset looks beautiful today.,not_offensive
Thanks for your hard work.,not_offensive
"I respect your opinion, though I don’t share it!",not_offensive
People like you should be exterminated!,offensive
"This isn’t my preference, but it’s okay!",not_offensive
god has a plan for everyone.,not_offensive
may god guide your path.,not_offensive
you’re a stain on humanity!,offensive
god has a plan for everyone.,not_offensive
you’re doing an amazing job.,not_offensive
you deserve to be beaten to a pulp!,offensive
I’ll keep you in my prayers.,not_offensive
You’re a lying snake!,offensive
I’ll pray for your success.,not_offensive
You deserve to be beaten to a pulp.,offensive
god’s mercy is endless.,not_offensive
God bless you and your family!,not_offensive
God has a plan for everyone.,not_offensive
"this doesn’t work for me, but others might like it!",not_offensive
I trust in God’s wisdom.,not_offensive
"Go die in a fire, nobody cares.",offensive
"kill yourself, you useless trash.",offensive
the sunset looks beautiful today.,not_offensive
i’ll expose all your secrets!,offensive
you’re a lying snake.,offensive
you’re doing an amazing job!,not_offensive
Prayer brings peace!,not_offensive
You’re a stain on humanity!,offensive
God bless you and your family.,not_offensive
I’ll pray for your success.,not_offensive
may god guide your path!,not_offensive
"You’re a vile, disgusting creature!",offensive
faith gives me hope!,not_offensive
Watch your back—I’m coming for you!,offensive
"this doesn’t work for me, but others might like it!",not_offensive
let’s find a solution together.,not_offensive
i despise everything about you!,offensive
may god guide your path.,not_offensive
You’re a disgusting pig.,offensive
The sunset looks beautiful today.,not_offensive
God’s mercy is endless!,not_offensive
i trust in god’s wisdom.,not_offensive
i’ll ruin your life.,offensive
i’ll make sure you regret this.,offensive
"kill yourself, you useless trash!",offensive
Divine love heals all wounds.,not_offensive
"Kill yourself, you useless trash!",offensive
god’s love is unconditional!,not_offensive
you’re a soulless monster!,offensive
you’re a subhuman piece of filth!,offensive
There’s room for improvement here!,not_offensive
You’re a brainless zombie!,offensive
I’ll make you wish you were never born.,offensive
may god guide your path!,not_offensive
i wish you were never born.,offensive
"i’m not a fan, but i understand why you like it.",not_offensive
"go die in a fire, nobody cares.",offensive
You’re a waste of oxygen.,offensive
you’re a stain on humanity!,offensive
"I’m not a fan, but I understand why you like it.",not_offensive
You’re a blight on society!,offensive
this idea could use some improvement!,not_offensive
"this doesn’t work for me, but others might like it.",not_offensive
I wish you were never born.,offensive
there’s room for improvement here!,not_offensive
"i respect your opinion, though i don’t share it!",not_offensive
you’re a blight on society.,offensive
the sunset looks beautiful today!,not_offensive
Divine love heals all wounds.,not_offensive
God’s love is unconditional.,not_offensive
you’re a subhuman piece of filth!,offensive
There’s room for improvement here!,not_offensive
i’ll make sure you regret this.,offensive
I wish you were never born.,offensive
i hope you get hit by a truck.,offensive
watch your back—i’m coming for you.,offensive
"This isn’t my preference, but it’s okay!",not_offensive
Faith helps me stay strong!,not_offensive
"Kill yourself, you useless trash.",offensive
Jesus loves all people equally!,not_offensive
people like you should be exterminated.,offensive
may jesus bless your journey.,not_offensive
Watch your back—I’m coming for you.,offensive
i’ll expose all your secrets!,offensive
You’re a coward and a fraud.,offensive
Jesus loves all people equally.,not_offensive
I wish you were never born!,offensive
You deserve to be beaten to a pulp!,offensive
you’re the worst person i’ve ever met.,offensive
let’s try a different approach.,not_offensive
This idea could use some improvement.,not_offensive
i despise everything about you!,offensive
watch your back—i’m coming for you.,offensive
i’ll expose all your secrets!,offensive
watch your back—i’m coming for you!,offensive
"i respect your opinion, though i don’t share it.",not_offensive
"this doesn’t work for me, but others might like it!",not_offensive
I wish you were never born!,offensive
This could be better with some adjustments!,not_offensive
I hope you suffer forever!,offensive
Faith helps me stay strong.,not_offensive
prayer brings peace!,not_offensive
I’ll destroy your reputation.,offensive
You’re a waste of oxygen.,offensive
you deserve to be beaten to a pulp.,offensive
People like you should be exterminated.,offensive
you’re a disgusting pig.,offensive
there’s room for improvement here.,not_offensive
you’re a coward and a fraud.,offensive
You’re a blight on society.,offensive
"Go die in a fire, nobody cares.",offensive
"Kill yourself, you useless trash!",offensive
"This isn’t my preference, but it’s okay!",not_offensive
"This isn’t my preference, but it’s okay.",not_offensive
i’ll pray for your success!,not_offensive
god’s mercy is endless.,not_offensive
i trust in god’s wisdom!,not_offensive
There’s room for improvement here.,not_offensive
divine love heals all wounds!,not_offensive
Thanks for your hard work!,not_offensive
"you’re a vile, disgusting creature.",offensive
I wish you were never born!,offensive
you’re the reason the world is terrible!,offensive
"I respect your opinion, though I don’t share it!",not_offensive
I’ll keep you in my prayers!,not_offensive
god’s mercy is endless.,not_offensive
this could be better with some adjustments.,not_offensive
you’re the worst person i’ve ever met.,offensive
"i respect your opinion, though i don’t share it!",not_offensive
You’re a coward and a fraud.,offensive
god’s mercy is endless.,not_offensive
i’ll ruin your life.,offensive
you’re a waste of oxygen!,offensive
I’ll expose all your secrets!,offensive
you’re doing an amazing job!,not_offensive
You’re a subhuman piece of filth.,offensive
i wish you were never born.,offensive
you deserve to be beaten to a pulp!,offensive
god bless you and your family!,not_offensive
You’re dead to me.,offensive
you’re a waste of oxygen.,offensive
i wish you were never born.,offensive
"kill yourself, you useless trash!",offensive
"i respect your opinion, though i don’t share it!",not_offensive
i’ll make you wish you were never born!,offensive
this idea could use some improvement!,not_offensive
you’re a brainless zombie!,offensive
You’re a worthless failure!,offensive
May God guide your path.,not_offensive
thanks for your hard work.,not_offensive
You’re a brainless zombie!,offensive
Prayer brings peace!,not_offensive
thanks for your hard work!,not_offensive
Prayer brings peace!,not_offensive
I despise everything about you!,offensive
god bless you and your family.,not_offensive
Let’s find a solution together!,not_offensive
you’re a stain on humanity!,offensive
Watch your back—I’m coming for you!,offensive
i’ll destroy your reputation!,offensive
you’re a disgusting pig!,offensive
"I’m not a fan, but I understand why you like it.",not_offensive
Let’s try a different approach!,not_offensive
I’ll ruin your life!,offensive
You’re a pathetic excuse for a human!,offensive
I trust in God’s wisdom.,not_offensive
The Lord works in mysterious ways!,not_offensive
i’ll make sure you regret this.,offensive
i’ll expose all your secrets!,offensive
I hope you get hit by a truck!,offensive
you’re a worthless failure.,offensive
jesus loves all people equally!,not_offensive
"i respect your opinion, though i don’t share it!",not_offensive
"this doesn’t work for me, but others might like it.",not_offensive
"go die in a fire, nobody cares.",offensive
Thanks for your hard work!,not_offensive
Divine love heals all wounds.,not_offensive
"I respect your opinion, though I don’t share it!",not_offensive
i hope you suffer forever.,offensive
You’re a blight on society.,offensive
faith helps me stay strong.,not_offensive
"This isn’t my preference, but it’s okay.",not_offensive
Faith gives me hope.,not_offensive
i’ll pray for your success.,not_offensive
You’re a soulless monster.,offensive
divine love heals all wounds!,not_offensive
you’re doing an amazing job!,not_offensive
Faith gives me hope!,not_offensive
you’re the worst person i’ve ever met.,offensive
You’re a blight on society.,offensive
"your effort is appreciated, but we need changes.",not_offensive
You’re a waste of oxygen!,offensive
i hope you get hit by a truck.,offensive
I’ll pray for your success.,not_offensive
there’s room for improvement here!,not_offensive
You’re a brainless zombie.,offensive
Thanks for your hard work!,not_offensive
you’re the reason the world is terrible!,offensive
God’s love is unconditional!,not_offensive
you’re a brainless zombie.,offensive
you’re a disgusting pig.,offensive
"i’m not a fan, but i understand why you like it.",not_offensive
I’ll make you wish you were never born.,offensive
you’re a worthless failure.,offensive
You’re doing an amazing job!,not_offensive
You’re a coward and a fraud.,offensive
there’s room for improvement here.,not_offensive
i’ll expose all your secrets.,offensive
you’re a subhuman piece of filth.,offensive
Prayer brings peace.,not_offensive
i hope your family suffers too.,offensive
let’s find a solution together!,not_offensive
the sunset looks beautiful today.,not_offensive
i despise everything about you.,offensive
The sunset looks beautiful today!,not_offensive
"You’re a vile, disgusting creature.",offensive
the lord works in mysterious ways!,not_offensive
you’re a pathetic excuse for a human!,offensive
the sunset looks beautiful today!,not_offensive
you’re doing an amazing job.,not_offensive
Let’s find a solution together!,not_offensive
you’re a soulless monster!,offensive
you’re a brainless zombie!,offensive
You’re the reason the world is terrible!,offensive
"This doesn’t work for me, but others might like it!",not_offensive
"You’re a vile, disgusting creature.",offensive
"your effort is appreciated, but we need changes.",not_offensive
May Jesus bless your journey.,not_offensive
You’re a soulless monster.,offensive
you’re a stain on humanity.,offensive
this could be better with some adjustments!,not_offensive
There’s room for improvement here!,not_offensive
You’re a subhuman piece of filth!,offensive
I’ll pray for your success.,not_offensive
You’re a pathetic excuse for a human!,offensive
this idea could use some improvement!,not_offensive
I’ll expose all your secrets!,offensive
this could be better with some adjustments!,not_offensive
You’re a coward and a fraud!,offensive
jesus loves all people equally!,not_offensive
You’re a coward and a fraud.,offensive
"go die in a fire, nobody cares!",offensive
You’re a coward and a fraud!,offensive
"i see your point, but i disagree!",not_offensive
"i respect your opinion, though i don’t share it!",not_offensive
You’re dead to me.,offensive
"you’re a vile, disgusting creature.",offensive
you’re dead to me.,offensive
Jesus loves all people equally!,not_offensive
faith helps me stay strong.,not_offensive
You’re dead to me.,offensive
Faith helps me stay strong!,not_offensive
God’s mercy is endless.,not_offensive
prayer brings peace!,not_offensive
i’ll make sure you regret this!,offensive
i’ll make sure you regret this.,offensive
You’re a worthless failure.,offensive
Faith helps me stay strong.,not_offensive
watch your back—i’m coming for you.,offensive
May Jesus bless your journey!,not_offensive
god bless you and your family!,not_offensive
i’ll pray for your success!,not_offensive
there’s room for improvement here.,not_offensive
may god guide your path!,not_offensive
You’re a subhuman piece of filth!,offensive
You’re doing an amazing job!,not_offensive
You’re a brainless zombie.,offensive
"I respect your opinion, though I don’t share it!",not_offensive
Let’s find a solution together.,not_offensive
I hope you suffer forever!,offensive
i’ll keep you in my prayers.,not_offensive
you’re a blight on society!,offensive
"you’re a vile, disgusting creature!",offensive
i’ll ruin your life.,offensive
I wish you were never born!,offensive
i hope you suffer forever!,offensive
may jesus bless your journey.,not_offensive
You’re a soulless monster.,offensive
"You’re a vile, disgusting creature!",offensive
Faith helps me stay strong!,not_offensive
you’re the worst person i’ve ever met.,offensive
you deserve to be beaten to a pulp!,offensive
i hope you get hit by a truck.,offensive
I’ll expose all your secrets.,offensive
you’re the reason the world is terrible.,offensive
i wish you were never born!,offensive
you deserve to be beaten to a pulp.,offensive
i’ll expose all your secrets!,offensive
Jesus loves all people equally.,not_offensive
You’re a soulless monster!,offensive
prayer brings peace!,not_offensive
i hope your family suffers too.,offensive
you’re a worthless failure.,offensive
"You’re a vile, disgusting creature!",offensive
you’re a disgusting pig.,offensive
"This isn’t my preference, but it’s okay!",not_offensive
Divine love heals all wounds!,not_offensive
you’re dead to me!,offensive
you’re the reason the world is terrible.,offensive
I’ll keep you in my prayers!,not_offensive
god has a plan for everyone.,not_offensive
I hope your family suffers too!,offensive
let’s try a different approach!,not_offensive
you’re a worthless failure.,offensive
God’s mercy is endless!,not_offensive
prayer brings peace.,not_offensive
you’re a waste of oxygen.,offensive
"this isn’t my preference, but it’s okay!",not_offensive
the lord works in mysterious ways.,not_offensive
I despise everything about you!,offensive
God has a plan for everyone.,not_offensive
you’re a soulless monster!,offensive
you’re dead to me.,offensive
"Go die in a fire, nobody cares.",offensive
You’re a disgusting pig!,offensive
i’ll ruin your life!,offensive
"You’re a vile, disgusting creature.",offensive
you’re a soulless monster!,offensive
You’re a lying snake!,offensive
I hope your family suffers too.,offensive
you’re the worst person i’ve ever met.,offensive
i’ll make you wish you were never born.,offensive
I wish you were never born!,offensive
The Lord works in mysterious ways!,not_offensive
I’ll destroy your reputation.,offensive
"go die in a fire, nobody cares.",offensive
You’re a blight on society.,offensive
"i’m not a fan, but i understand why you like it.",not_offensive
"Kill yourself, you useless trash!",offensive
this could be better with some adjustments!,not_offensive
god’s love is unconditional!,not_offensive
People like you should be exterminated!,offensive
Thanks for your hard work!,not_offensive
"your effort is appreciated, but we need changes!",not_offensive
Divine love heals all wounds.,not_offensive
"Your effort is appreciated, but we need changes!",not_offensive
I wish you were never born!,offensive
Watch your back—I’m coming for you.,offensive
the sunset looks beautiful today!,not_offensive
You’re a lying snake.,offensive
god bless you and your family.,not_offensive
Jesus loves all people equally!,not_offensive
the lord works in mysterious ways.,not_offensive
i’ll keep you in my prayers.,not_offensive
this could be better with some adjustments.,not_offensive
This idea could use some improvement!,not_offensive
you’re the worst person i’ve ever met!,offensive
Faith helps me stay strong.,not_offensive
watch your back—i’m coming for you!,offensive
I’ll keep you in my prayers!,not_offensive
"your effort is appreciated, but we need changes.",not_offensive
This could be better with some adjustments.,not_offensive
"your effort is appreciated, but we need changes!",not_offensive
You’re a blight on society!,offensive
i’ll ruin your life!,offensive
there’s room for improvement here!,not_offensive
you’re the worst person i’ve ever met.,offensive
"this isn’t my preference, but it’s okay!",not_offensive
"i’m not a fan, but i understand why you like it!",not_offensive
You’re a worthless failure!,offensive
I’ll expose all your secrets!,offensive
God’s mercy is endless!,not_offensive
i hope your family suffers too!,offensive
This could be better with some adjustments!,not_offensive
"This doesn’t work for me, but others might like it!",not_offensive
You’re a pathetic excuse for a human!,offensive
"I respect your opinion, though I don’t share it.",not_offensive
You’re a disgusting pig.,offensive
the lord works in mysterious ways!,not_offensive
You’re a waste of oxygen.,offensive
You’re a blight on society.,offensive
you’re doing an amazing job!,not_offensive
You’re a brainless zombie!,offensive
You’re doing an amazing job.,not_offensive
You’re a blight on society!,offensive
You’re a brainless zombie.,offensive
you’re a coward and a fraud!,offensive
this idea could use some improvement.,not_offensive
You’re a disgusting pig!,offensive
"You’re a vile, disgusting creature!",offensive
"I respect your opinion, though I don’t share it.",not_offensive
I hope your family suffers too.,offensive
You’re a soulless monster!,offensive
divine love heals all wounds!,not_offensive
I’ll keep you in my prayers.,not_offensive
The sunset looks beautiful today!,not_offensive
I’ll pray for your success.,not_offensive
I’ll pray for your success.,not_offensive
You’re doing an amazing job.,not_offensive
You’re the reason the world is terrible.,offensive
i despise everything about you.,offensive
I’ll keep you in my prayers!,not_offensive
You’re a worthless failure.,offensive
This could be better with some adjustments!,not_offensive
i’ll make you wish you were never born.,offensive
God’s love is unconditional.,not_offensive
"Kill yourself, you useless trash.",offensive
i hope you get hit by a truck.,offensive
you’re doing an amazing job!,not_offensive
"Your effort is appreciated, but we need changes!",not_offensive
You’re a lying snake!,offensive
Prayer brings peace.,not_offensive
i’ll make you wish you were never born.,offensive
you’re the reason the world is terrible.,offensive
You’re a blight on society.,offensive
May God guide your path.,not_offensive
this idea could use some improvement!,not_offensive
people like you should be exterminated!,offensive
i’ll keep you in my prayers.,not_offensive
"this isn’t my preference, but it’s okay.",not_offensive
You’re a soulless monster.,offensive
god’s love is unconditional.,not_offensive
"kill yourself, you useless trash.",offensive
I’ll keep you in my prayers!,not_offensive
you’re a disgusting pig.,offensive
i’ll make sure you regret this.,offensive
I wish you were never born!,offensive
you’re a subhuman piece of filth.,offensive
there’s room for improvement here.,not_offensive
Let’s try a different approach!,not_offensive
I’ll keep you in my prayers!,not_offensive
I hope you get hit by a truck!,offensive
you’re the reason the world is terrible.,offensive
"i dislike this movie, but respect your taste!",not_offensive
may jesus bless your journey.,not_offensive
you’re a brainless zombie.,offensive
I’ll expose all your secrets!,offensive
"i’m not a fan, but i understand why you like it!",not_offensive
you’re a coward and a fraud!,offensive
you’re the reason the world is terrible!,offensive
God has a plan for everyone.,not_offensive
You’re a waste of oxygen.,offensive
there’s room for improvement here!,not_offensive
you’re a lying snake.,offensive
You’re a waste of oxygen!,offensive
"you’re a vile, disgusting creature!",offensive
I hope you suffer forever.,offensive
you’re the reason the world is terrible!,offensive
i wish you were never born.,offensive
you’re the worst person i’ve ever met.,offensive
May God guide your path.,not_offensive
i trust in god’s wisdom.,not_offensive
I’ll make you wish you were never born!,offensive
God’s love is unconditional!,not_offensive
"your effort is appreciated, but we need changes!",not_offensive
god has a plan for everyone!,not_offensive
you’re a pathetic excuse for a human!,offensive
God bless you and your family.,not_offensive
God bless you and your family.,not_offensive
jesus loves all people equally!,not_offensive
"I’m not a fan, but I understand why you like it!",not_offensive
You’re a soulless monster!,offensive
I’ll make you wish you were never born.,offensive
you’re a disgusting pig!,offensive
"I see your point, but I disagree!",not_offensive
You’re the worst person I’ve ever met.,offensive
"this isn’t my preference, but it’s okay.",not_offensive
you’re a disgusting pig!,offensive
I hope you suffer forever.,offensive
You’re a worthless failure.,offensive
you’re a brainless zombie.,offensive
Divine love heals all wounds!,not_offensive
i hope your family suffers too!,offensive
Thanks for your hard work!,not_offensive
"you’re a vile, disgusting creature!",offensive
god’s love is unconditional.,not_offensive
i’ll keep you in my prayers.,not_offensive
may jesus bless your journey!,not_offensive
"This doesn’t work for me, but others might like it!",not_offensive
you’re a pathetic excuse for a human!,offensive
This idea could use some improvement!,not_offensive
I’ll destroy your reputation!,offensive
You’re a pathetic excuse for a human.,offensive
jesus loves all people equally.,not_offensive
"I’m not a fan, but I understand why you like it.",not_offensive
you’re dead to me!,offensive
You’re a coward and a fraud!,offensive
you’re a blight on society.,offensive
"this isn’t my preference, but it’s okay!",not_offensive
you’re a lying snake.,offensive
I’ll pray for your success!,not_offensive
god’s mercy is endless!,not_offensive
There’s room for improvement here.,not_offensive
Faith gives me hope.,not_offensive
"You’re a vile, disgusting creature!",offensive
You’re a worthless failure!,offensive
Faith helps me stay strong.,not_offensive
i’ll expose all your secrets.,offensive
You’re a coward and a fraud!,offensive
You’re doing an amazing job.,not_offensive
the lord works in mysterious ways!,not_offensive
may god guide your path!,not_offensive
thanks for your hard work!,not_offensive
i hope your family suffers too!,offensive
The sunset looks beautiful today!,not_offensive
You’re a waste of oxygen!,offensive
i’ll keep you in my prayers!,not_offensive
You’re a blight on society.,offensive
the sunset looks beautiful today!,not_offensive
People like you should be exterminated!,offensive
You’re doing an amazing job!,not_offensive
I trust in God’s wisdom!,not_offensive
I don't hate you,not_offensive
you’re a lying snake.,offensive
I hope your family suffers too.,offensive
Prayer brings peace.,not_offensive
i’ll ruin your life.,offensive
You’re a blight on society!,offensive
"I dislike this movie, but respect your taste!",not_offensive
i trust in god’s wisdom.,not_offensive
"go die in a fire, nobody cares!",offensive
divine love heals all wounds.,not_offensive
I trust in God’s wisdom!,not_offensive
you’re doing an amazing job!,not_offensive
The sunset looks beautiful today.,not_offensive
watch your back—i’m coming for you.,offensive
Let’s try a different approach.,not_offensive
you’re a coward and a fraud.,offensive
"This isn’t my preference, but it’s okay!",not_offensive
"you’re a vile, disgusting creature.",offensive
"i dislike this movie, but respect your taste!",not_offensive
"I see your point, but I disagree.",not_offensive
you’re a lying snake.,offensive
"Kill yourself, you useless trash!",offensive
"this doesn’t work for me, but others might like it.",not_offensive
the lord works in mysterious ways.,not_offensive
"You’re a vile, disgusting creature!",offensive
The Lord works in mysterious ways.,not_offensive
god has a plan for everyone.,not_offensive
the sunset looks beautiful today!,not_offensive
I’ll keep you in my prayers!,not_offensive
You’re the reason the world is terrible.,offensive
God’s mercy is endless!,not_offensive
I despise everything about you!,offensive
God’s mercy is endless.,not_offensive
you’re a subhuman piece of filth.,offensive
I hope you suffer forever!,offensive
god’s love is unconditional.,not_offensive
i’ll ruin your life.,offensive
"This isn’t my preference, but it’s okay!",not_offensive
"i dislike this movie, but respect your taste.",not_offensive
Faith gives me hope!,not_offensive
you’re dead to me!,offensive
people like you should be exterminated!,offensive
God’s love is unconditional.,not_offensive
people like you should be exterminated!,offensive
"this doesn’t work for me, but others might like it.",not_offensive
jesus loves all people equally!,not_offensive
you’re a worthless failure.,offensive
let’s try a different approach!,not_offensive
God bless you and your family!,not_offensive
you’re a stain on humanity.,offensive
"Your effort is appreciated, but we need changes.",not_offensive
"i respect your opinion, though i don’t share it!",not_offensive
Let’s find a solution together!,not_offensive
You’re doing an amazing job!,not_offensive
I’ll keep you in my prayers.,not_offensive
God has a plan for everyone.,not_offensive
you deserve to be beaten to a pulp.,offensive
You’re a disgusting pig.,offensive
I trust in God’s wisdom!,not_offensive
You’re a coward and a fraud!,offensive
"i’m not a fan, but i understand why you like it.",not_offensive
i hope you get hit by a truck.,offensive
You’re doing an amazing job.,not_offensive
you’re the worst person i’ve ever met.,offensive
I’ll expose all your secrets!,offensive
"Go die in a fire, nobody cares.",offensive
god’s mercy is endless.,not_offensive
"this doesn’t work for me, but others might like it.",not_offensive
I’ll ruin your life!,offensive
you’re a blight on society!,offensive
i’ll expose all your secrets!,offensive
god bless you and your family!,not_offensive
i wish you were never born.,offensive
Jesus loves all people equally.,not_offensive
"Go die in a fire, nobody cares!",offensive
You’re a lying snake!,offensive
"Go die in a fire, nobody cares.",offensive
"kill yourself, you useless trash!",offensive
Let’s try a different approach!,not_offensive
faith helps me stay strong!,not_offensive
you’re a pathetic excuse for a human!,offensive
Watch your back—I’m coming for you!,offensive
I’ll destroy your reputation.,offensive
i’ll make you wish you were never born.,offensive
This idea could use some improvement.,not_offensive
"this isn’t my preference, but it’s okay.",not_offensive
You’re a worthless failure.,offensive
There’s room for improvement here!,not_offensive
I’ll pray for your success!,not_offensive
watch your back—i’m coming for you.,offensive
Let’s try a different approach!,not_offensive
you’re a stain on humanity!,offensive
The Lord works in mysterious ways.,not_offensive
You’re dead to me.,offensive
you’re a subhuman piece of filth!,offensive
you’re the reason the world is terrible.,offensive
"i dislike this movie, but respect your taste.",not_offensive
"Go die in a fire, nobody cares!",offensive
"Go die in a fire, nobody cares.",offensive
you’re the reason the world is terrible.,offensive
You’re a brainless zombie!,offensive
"this isn’t my preference, but it’s okay!",not_offensive
I’ll expose all your secrets!,offensive
i’ll pray for your success!,not_offensive
god has a plan for everyone!,not_offensive
You’re doing an amazing job!,not_offensive
I wish you were never born.,offensive
faith gives me hope.,not_offensive
you’re a soulless monster!,offensive
You’re a lying snake!,offensive
Let’s find a solution together.,not_offensive
You’re a waste of oxygen.,offensive
"i see your point, but i disagree.",not_offensive
You’re dead to me.,offensive
"Go die in a fire, nobody cares.",offensive
Prayer brings peace!,not_offensive
I’ll ruin your life!,offensive
You’re a stain on humanity.,offensive
let’s try a different approach!,not_offensive
You’re a brainless zombie!,offensive
I trust in God’s wisdom!,not_offensive
"I’m not a fan, but I understand why you like it!",not_offensive
You’re the worst person I’ve ever met!,offensive
Divine love heals all wounds!,not_offensive
"I respect your opinion, though I don’t share it.",not_offensive
jesus loves all people equally.,not_offensive
"your effort is appreciated, but we need changes!",not_offensive
You’re doing an amazing job!,not_offensive
You’re a lying snake.,offensive
The Lord works in mysterious ways.,not_offensive
You’re a coward and a fraud.,offensive
You’re a brainless zombie!,offensive
I wish you were never born!,offensive
i hope you get hit by a truck!,offensive
"this doesn’t work for me, but others might like it.",not_offensive
You’re a coward and a fraud.,offensive
"Kill yourself, you useless trash.",offensive
"You’re a vile, disgusting creature.",offensive
"i dislike this movie, but respect your taste!",not_offensive
may god guide your path.,not_offensive
I wish you were never born!,offensive
"go die in a fire, nobody cares.",offensive
i wish you were never born.,offensive
God bless you and your family.,not_offensive
There’s room for improvement here.,not_offensive
"I respect your opinion, though I don’t share it!",not_offensive
"your effort is appreciated, but we need changes.",not_offensive
thanks for your hard work!,not_offensive
